"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2022","4.22","4.26","4.27","4.21","83.57K","-0.99%"
"09/16/2022","4.26","4.26","4.26","4.24","42.88K","0.00%"
"09/15/2022","4.26","4.28","4.28","4.26","76.47K","-0.45%"
"09/14/2022","4.28","4.26","4.28","4.26","150.00K","0.40%"
"09/13/2022","4.26","4.34","4.34","4.25","61.25K","-1.34%"
"09/12/2022","4.32","4.30","4.32","4.30","41.23K","0.48%"
"09/09/2022","4.30","4.31","4.32","4.30","154.61K","0.46%"
"09/08/2022","4.28","4.31","4.33","4.28","67.78K","0.00%"
"09/07/2022","4.28","4.29","4.29","4.27","1.45M","0.68%"
"09/06/2022","4.26","4.30","4.31","4.26","63.40K","-1.10%"
"09/05/2022","4.30","4.34","4.34","4.29","118.90K","-0.61%"
"09/02/2022","4.33","4.34","4.34","4.31","28.12K","0.63%"
"09/01/2022","4.30","4.33","4.34","4.30","67.60K","-1.10%"
"08/31/2022","4.35","4.34","4.38","4.34","45.92K","-0.17%"
"08/30/2022","4.36","4.37","4.39","4.34","340.10K","-0.65%"
"08/26/2022","4.39","4.40","4.42","4.38","49.98K","0.15%"
"08/25/2022","4.38","4.39","4.39","4.38","162.76K","0.00%"
"08/24/2022","4.38","4.41","4.41","4.37","236.23K","-0.56%"
"08/23/2022","4.40","4.39","4.41","4.38","941.07K","0.57%"
"08/22/2022","4.38","4.44","4.44","4.38","137.41K","-0.52%"
"08/19/2022","4.40","4.46","4.46","4.40","171.03K","-1.48%"
"08/18/2022","4.47","4.47","4.48","4.46","247.44K","0.00%"
"08/17/2022","4.47","4.53","4.53","4.47","144.53K","-0.49%"
"08/16/2022","4.49","4.52","4.52","4.49","56.78K","-0.58%"
"08/15/2022","4.52","4.53","4.53","4.50","38.61K","0.33%"
"08/12/2022","4.50","4.54","4.54","4.50","34.26K","-0.54%"
"08/11/2022","4.53","4.55","4.55","4.52","52.23K","-0.23%"
"08/10/2022","4.54","4.52","4.56","4.50","101.76K","0.88%"
"08/09/2022","4.50","4.54","4.54","4.50","54.43K","-0.34%"
"08/08/2022","4.51","4.50","4.52","4.49","17.01K","0.90%"
"08/05/2022","4.47","4.56","4.56","4.48","95.70K","-1.38%"
"08/04/2022","4.54","4.52","4.54","4.51","15.84K","0.92%"
"08/03/2022","4.49","4.53","4.53","4.49","48.26K","-0.91%"
"08/02/2022","4.54","4.59","4.59","4.53","111.45K","-0.72%"
"08/01/2022","4.57","4.57","4.57","4.53","109.63K","0.95%"
"07/29/2022","4.53","4.56","4.56","4.50","187.14K","0.13%"
"07/28/2022","4.52","4.50","4.52","4.47","2.21M","1.13%"
"07/27/2022","4.47","4.49","4.49","4.44","30.01K","0.00%"
"07/26/2022","4.47","4.50","4.50","4.46","163.03K","0.00%"
"07/25/2022","4.47","4.44","4.49","4.44","18.25K","0.00%"
"07/22/2022","4.47","4.44","4.49","4.44","84.82K","1.22%"
"07/21/2022","4.42","4.38","4.43","4.38","38.03K","0.15%"
"07/20/2022","4.41","4.42","4.43","4.41","102.98K","-0.20%"
"07/19/2022","4.42","4.43","4.44","4.41","86.94K","0.36%"
"07/18/2022","4.41","4.41","4.43","4.39","23.39K","-0.23%"
"07/15/2022","4.42","4.40","4.42","4.40","45.57K","0.70%"
"07/14/2022","4.39","4.41","4.41","4.36","2.21M","-1.29%"
"07/13/2022","4.44","4.45","4.46","4.41","513.62K","-0.19%"
"07/12/2022","4.45","4.43","4.47","4.43","473.32K","0.49%"
"07/11/2022","4.43","4.44","4.45","4.42","19.38K","-0.13%"
"07/08/2022","4.44","4.46","4.47","4.43","48.14K","-0.12%"
"07/07/2022","4.44","4.44","4.46","4.44","56.18K","-0.42%"
"07/06/2022","4.46","4.48","4.49","4.46","69.34K","-0.37%"
"07/05/2022","4.48","4.50","4.50","4.46","99.79K","0.00%"
"07/04/2022","4.48","4.51","4.51","4.48","41.38K","-0.28%"
"07/01/2022","4.49","4.50","4.53","4.47","1.19M","0.48%"
"06/30/2022","4.47","4.47","4.47","4.44","23.51K","0.82%"
"06/29/2022","4.43","4.47","4.47","4.42","68.43K","0.18%"
"06/28/2022","4.42","4.46","4.46","4.42","28.57K","-0.77%"
"06/27/2022","4.46","4.49","4.49","4.44","92.62K","-0.12%"
"06/24/2022","4.46","4.47","4.48","4.44","83.75K","0.00%"
"06/23/2022","4.46","4.44","4.48","4.44","880.85K","0.43%"
"06/22/2022","4.44","4.42","4.45","4.41","20.15K","0.73%"
"06/21/2022","4.41","4.40","4.43","4.40","36.26K","0.00%"
"06/20/2022","4.41","4.43","4.43","4.41","563.82K","0.00%"
"06/17/2022","4.41","4.43","4.44","4.40","1.81M","-0.45%"
"06/16/2022","4.43","4.42","4.45","4.38","2.07M","0.70%"
"06/15/2022","4.40","4.40","4.42","4.38","8.75K","0.54%"
"06/14/2022","4.37","4.42","4.44","4.38","28.34K","-0.79%"
"06/13/2022","4.41","4.45","4.47","4.38","1.14M","-1.43%"
"06/10/2022","4.47","4.52","4.54","4.45","25.03K","-1.09%"
"06/09/2022","4.52","4.57","4.57","4.50","92.68K","-0.62%"
"06/08/2022","4.55","4.57","4.57","4.55","25.18K","-0.31%"
"06/07/2022","4.57","4.57","4.57","4.54","168.24K","0.30%"
"06/06/2022","4.55","4.61","4.61","4.55","39.96K","-0.69%"
"06/01/2022","4.58","4.64","4.64","4.58","49.28K","-0.59%"
"05/31/2022","4.61","4.65","4.65","4.61","248.91K","-0.57%"
"05/30/2022","4.64","4.68","4.68","4.64","783.16K","-0.18%"
"05/27/2022","4.65","4.64","4.66","4.64","5.58M","0.38%"
"05/26/2022","4.63","4.65","4.65","4.63","180.54K","0.00%"
"05/25/2022","4.63","4.66","4.66","4.62","259.67K","-0.38%"
"05/24/2022","4.64","4.61","4.64","4.61","446.82K","0.62%"
"05/23/2022","4.61","4.63","4.63","4.58","335.17K","0.47%"
"05/20/2022","4.59","4.60","4.60","4.57","331.61K","-0.16%"
"05/19/2022","4.60","4.56","4.61","4.56","125.96K","0.70%"
"05/18/2022","4.57","4.56","4.57","4.55","167.62K","0.00%"
"05/17/2022","4.57","4.58","4.58","4.56","61.97K","0.00%"
"05/16/2022","4.57","4.59","4.59","4.55","43.91K","0.00%"
"05/13/2022","4.56","4.59","4.59","4.55","149.63K","-0.77%"
"05/12/2022","4.60","4.60","4.60","4.55","344.99K","0.73%"
"05/11/2022","4.56","4.59","4.59","4.53","592.01K","0.00%"
"05/10/2022","4.57","4.57","4.57","4.54","152.32K","0.74%"
"05/09/2022","4.53","4.55","4.55","4.51","88.28K","0.23%"
"05/06/2022","4.52","4.55","4.56","4.52","108.16K","-0.49%"
"05/05/2022","4.55","4.58","4.65","4.55","143.22K","-0.72%"
"05/04/2022","4.58","4.58","4.58","4.56","72.75K","0.00%"
"05/03/2022","4.58","4.60","4.60","4.57","1.30M","-0.26%"
"04/29/2022","4.59","4.64","4.64","4.58","148.09K","-0.11%"
"04/28/2022","4.60","4.63","4.65","4.59","99.43K","-0.72%"
"04/27/2022","4.63","4.67","4.67","4.63","196.65K","-0.68%"
"04/26/2022","4.66","4.67","4.67","4.66","453.83K","0.00%"
"04/25/2022","4.66","4.62","4.66","4.62","21.49K","0.36%"
"04/22/2022","4.64","4.63","4.66","4.63","47.73K","-0.48%"
"04/21/2022","4.67","4.69","4.70","4.67","855.18K","-0.51%"
