sep=;
"Date";"Open(QEURIBOR1MD=)";"High(QEURIBOR1MD=)";"Low(QEURIBOR1MD=)";"Last(QEURIBOR1MD=)"
"27.10.1994";"";"";"";"5"
"26.10.1994";"";"";"";"5"
"25.10.1994";"";"";"";"5"
"24.10.1994";"";"";"";"5"
"21.10.1994";"";"";"";"5"
"20.10.1994";"";"";"";"5"
"19.10.1994";"";"";"";"5"
"18.10.1994";"";"";"";"5"
"17.10.1994";"";"";"";"5"
"14.10.1994";"";"";"";"5"
"13.10.1994";"";"";"";"5,002"
"12.10.1994";"";"";"";"5,002"
"11.10.1994";"";"";"";"5,003"
"10.10.1994";"";"";"";"5,007"
"07.10.1994";"";"";"";"5,005"
"06.10.1994";"";"";"";"5"
"05.10.1994";"";"";"";"5"
"04.10.1994";"";"";"";"5"
"30.09.1994";"";"";"";"5"
"29.09.1994";"";"";"";"5"
"28.09.1994";"";"";"";"4,998"
"27.09.1994";"";"";"";"4,995"
"26.09.1994";"";"";"";"4,998"
"23.09.1994";"";"";"";"5,008"
"22.09.1994";"";"";"";"5,033"
"21.09.1994";"";"";"";"5,038"
"20.09.1994";"";"";"";"5,049"
"19.09.1994";"";"";"";"5,018"
"16.09.1994";"";"";"";"5,019"
"15.09.1994";"";"";"";"5,015"
"14.09.1994";"";"";"";"5,008"
"13.09.1994";"";"";"";"5"
"12.09.1994";"";"";"";"4,997"
"09.09.1994";"";"";"";"5"
"08.09.1994";"";"";"";"5"
"07.09.1994";"";"";"";"5"
"06.09.1994";"";"";"";"5"
"05.09.1994";"";"";"";"4,984"
"02.09.1994";"";"";"";"4,976"
"01.09.1994";"";"";"";"4,979"
"31.08.1994";"";"";"";"4,989"
"30.08.1994";"";"";"";"4,991"
"29.08.1994";"";"";"";"4,989"
"26.08.1994";"";"";"";"4,986"
"25.08.1994";"";"";"";"4,983"
"24.08.1994";"";"";"";"4,993"
"23.08.1994";"";"";"";"4,974"
"22.08.1994";"";"";"";"4,976"
"19.08.1994";"";"";"";"4,994"
"18.08.1994";"";"";"";"4,968"
"17.08.1994";"";"";"";"4,991"
"16.08.1994";"";"";"";"5"
"15.08.1994";"";"";"";"5,012"
"12.08.1994";"";"";"";"5,04"
"11.08.1994";"";"";"";"5"
"10.08.1994";"";"";"";"5"
"09.08.1994";"";"";"";"5"
"08.08.1994";"";"";"";"5"
"05.08.1994";"";"";"";"4,996"
"04.08.1994";"";"";"";"4,988"
"03.08.1994";"";"";"";"4,996"
"02.08.1994";"";"";"";"4,998"
"01.08.1994";"";"";"";"5"
"29.07.1994";"";"";"";"5"
"28.07.1994";"";"";"";"5,023"
"27.07.1994";"";"";"";"5,051"
"26.07.1994";"";"";"";"5"
"25.07.1994";"";"";"";"4,968"
"22.07.1994";"";"";"";"4,949"
"21.07.1994";"";"";"";"4,901"
"20.07.1994";"";"";"";"4,904"
"19.07.1994";"";"";"";"4,934"
"18.07.1994";"";"";"";"4,94"
"15.07.1994";"";"";"";"4,938"
"14.07.1994";"";"";"";"4,947"
"13.07.1994";"";"";"";"4,953"
"12.07.1994";"";"";"";"4,953"
"11.07.1994";"";"";"";"4,961"
"08.07.1994";"";"";"";"4,961"
"07.07.1994";"";"";"";"5"
"06.07.1994";"";"";"";"5"
"05.07.1994";"";"";"";"5,007"
"04.07.1994";"";"";"";"5,013"
"01.07.1994";"";"";"";"5,01"
"30.06.1994";"";"";"";"5,003"
"29.06.1994";"";"";"";"5,003"
"28.06.1994";"";"";"";"5"
"27.06.1994";"";"";"";"5"
"24.06.1994";"";"";"";"5"
"23.06.1994";"";"";"";"5,015"
"22.06.1994";"";"";"";"5,055"
"21.06.1994";"";"";"";"5,056"
"20.06.1994";"";"";"";"5,058"
"17.06.1994";"";"";"";"5,06"
"16.06.1994";"";"";"";"5,074"
"15.06.1994";"";"";"";"5,064"
"14.06.1994";"";"";"";"5,067"
"13.06.1994";"";"";"";"5,101"
"10.06.1994";"";"";"";"5,115"
"09.06.1994";"";"";"";"5,128"
"08.06.1994";"";"";"";"5,189"
"07.06.1994";"";"";"";"5,202"
"06.06.1994";"";"";"";"5,198"
"03.06.1994";"";"";"";"5,201"
"01.06.1994";"";"";"";"5,2"
"31.05.1994";"";"";"";"5,208"
"30.05.1994";"";"";"";"5,25"
"27.05.1994";"";"";"";"5,275"
"26.05.1994";"";"";"";"5,3"
"25.05.1994";"";"";"";"5,3"
"24.05.1994";"";"";"";"5,308"
"20.05.1994";"";"";"";"5,253"
"19.05.1994";"";"";"";"5,25"
"18.05.1994";"";"";"";"5,25"
"17.05.1994";"";"";"";"5,257"
"16.05.1994";"";"";"";"5,257"
"13.05.1994";"";"";"";"5,258"
"11.05.1994";"";"";"";"5,353"
"10.05.1994";"";"";"";"5,357"
"09.05.1994";"";"";"";"5,36"
"06.05.1994";"";"";"";"5,363"
"05.05.1994";"";"";"";"5,363"
"04.05.1994";"";"";"";"5,45"
"03.05.1994";"";"";"";"5,447"
"02.05.1994";"";"";"";"5,488"
"29.04.1994";"";"";"";"5,498"
"28.04.1994";"";"";"";"5,5"
"27.04.1994";"";"";"";"5,509"
"26.04.1994";"";"";"";"5,509"
"25.04.1994";"";"";"";"5,513"
"22.04.1994";"";"";"";"5,548"
"21.04.1994";"";"";"";"5,58"
"20.04.1994";"";"";"";"5,647"
"19.04.1994";"";"";"";"5,667"
"18.04.1994";"";"";"";"5,696"
"15.04.1994";"";"";"";"5,701"
"14.04.1994";"";"";"";"5,75"
"13.04.1994";"";"";"";"5,75"
"12.04.1994";"";"";"";"5,79"
"11.04.1994";"";"";"";"5,798"
"08.04.1994";"";"";"";"5,799"
"07.04.1994";"";"";"";"5,801"
"06.04.1994";"";"";"";"5,802"
"05.04.1994";"";"";"";"5,798"
"31.03.1994";"";"";"";"5,805"
"30.03.1994";"";"";"";"5,835"
"29.03.1994";"";"";"";"5,843"
"28.03.1994";"";"";"";"5,843"
"25.03.1994";"";"";"";"5,857"
"24.03.1994";"";"";"";"5,877"
"23.03.1994";"";"";"";"5,9"
"22.03.1994";"";"";"";"5,93"
"21.03.1994";"";"";"";"5,918"
"18.03.1994";"";"";"";"5,933"
"17.03.1994";"";"";"";"5,932"
"16.03.1994";"";"";"";"5,949"
"15.03.1994";"";"";"";"6"
"14.03.1994";"";"";"";"6,035"
"11.03.1994";"";"";"";"6,044"
"10.03.1994";"";"";"";"6,051"
"09.03.1994";"";"";"";"6,049"
"08.03.1994";"";"";"";"6,053"
"07.03.1994";"";"";"";"6,084"
"04.03.1994";"";"";"";"6,102"
"03.03.1994";"";"";"";"6,105"
"02.03.1994";"";"";"";"6,096"
"01.03.1994";"";"";"";"6,096"
"28.02.1994";"";"";"";"6,096"
"25.02.1994";"";"";"";"6,153"
"24.02.1994";"";"";"";"6,11"
"23.02.1994";"";"";"";"6,112"
"22.02.1994";"";"";"";"6,107"
"21.02.1994";"";"";"";"6,096"
"18.02.1994";"";"";"";"6,102"
"17.02.1994";"";"";"";"6,108"
"16.02.1994";"";"";"";"6,123"
"15.02.1994";"";"";"";"6,11"
"14.02.1994";"";"";"";"6,113"
"11.02.1994";"";"";"";"6,117"
"10.02.1994";"";"";"";"6,105"
"09.02.1994";"";"";"";"6,107"
"08.02.1994";"";"";"";"6,108"
"07.02.1994";"";"";"";"6,096"
"04.02.1994";"";"";"";"6,082"
"03.02.1994";"";"";"";"6,058"
"02.02.1994";"";"";"";"6,093"
"01.02.1994";"";"";"";"6,102"
"31.01.1994";"";"";"";"6,117"
"28.01.1994";"";"";"";"6,122"
"27.01.1994";"";"";"";"6,118"
"26.01.1994";"";"";"";"6,107"
"25.01.1994";"";"";"";"6,107"
"24.01.1994";"";"";"";"6,107"
"21.01.1994";"";"";"";"6,107"
"20.01.1994";"";"";"";"6,091"
"19.01.1994";"";"";"";"6,108"
"18.01.1994";"";"";"";"6,108"
"17.01.1994";"";"";"";"6,107"
"14.01.1994";"";"";"";"6,105"
"13.01.1994";"";"";"";"6,105"
"12.01.1994";"";"";"";"6,107"
"11.01.1994";"";"";"";"6,11"
"10.01.1994";"";"";"";"6,105"
"07.01.1994";"";"";"";"6,105"
"06.01.1994";"";"";"";"6,072"
"05.01.1994";"";"";"";"6,105"
"04.01.1994";"";"";"";"6,102"
"03.01.1994";"";"";"";"6,145"
"30.12.1993";"";"";"";"6,202"
"29.12.1993";"";"";"";"6,25"
"28.12.1993";"";"";"";"6,473"
"27.12.1993";"";"";"";"6,453"
"23.12.1993";"";"";"";"6,459"
"22.12.1993";"";"";"";"6,483"
"21.12.1993";"";"";"";"6,497"
"20.12.1993";"";"";"";"6,495"
"17.12.1993";"";"";"";"6,463"
"16.12.1993";"";"";"";"6,367"
"15.12.1993";"";"";"";"6,358"
