sep=;
"Date";"Line(Q.MERHE00)"
"24.02.2023";"316,931"
"23.02.2023";"317,244"
"22.02.2023";"316,423"
"21.02.2023";"317,371"
"20.02.2023";"318,625"
"17.02.2023";"318,636"
"16.02.2023";"319,174"
"15.02.2023";"319,074"
"14.02.2023";"319,404"
"13.02.2023";"319,561"
"10.02.2023";"319,903"
"09.02.2023";"320,699"
"08.02.2023";"320,333"
"07.02.2023";"320,289"
"06.02.2023";"320,391"
"03.02.2023";"320,638"
"02.02.2023";"320,22"
"01.02.2023";"317,246"
"31.01.2023";"316,864"
"30.01.2023";"316,74"
"27.01.2023";"317,066"
"26.01.2023";"316,707"
"25.01.2023";"316,319"
"24.01.2023";"316,067"
"23.01.2023";"315,879"
"20.01.2023";"315,818"
"19.01.2023";"316,109"
"18.01.2023";"316,689"
"17.01.2023";"315,539"
"16.01.2023";"315,256"
"13.01.2023";"314,802"
"12.01.2023";"313,592"
"11.01.2023";"312,361"
"10.01.2023";"311,599"
"09.01.2023";"311,663"
"06.01.2023";"310,255"
"05.01.2023";"309,549"
"04.01.2023";"309,581"
"03.01.2023";"308,141"
"31.12.2022";"307,022"
"30.12.2022";"306,988"
"29.12.2022";"306,837"
"28.12.2022";"306,962"
"27.12.2022";"306,914"
"23.12.2022";"306,956"
"22.12.2022";"306,848"
"21.12.2022";"306,609"
"20.12.2022";"306,585"
"19.12.2022";"307,697"
"16.12.2022";"308,06"
"15.12.2022";"310,091"
"14.12.2022";"310,616"
"13.12.2022";"310,35"
"12.12.2022";"309,313"
"09.12.2022";"309,392"
"08.12.2022";"309,733"
"07.12.2022";"310,145"
"06.12.2022";"310,588"
"05.12.2022";"310,741"
"02.12.2022";"310,525"
"01.12.2022";"310,441"
"30.11.2022";"309,303"
"29.11.2022";"309,374"
"28.11.2022";"309,495"
"25.11.2022";"309,523"
"24.11.2022";"309,513"
"23.11.2022";"307,94"
"22.11.2022";"306,785"
"21.11.2022";"305,939"
"18.11.2022";"305,704"
"17.11.2022";"305,301"
"16.11.2022";"305,871"
"15.11.2022";"306,203"
"14.11.2022";"305,846"
"11.11.2022";"305,439"
"10.11.2022";"302,782"
"09.11.2022";"300,497"
"08.11.2022";"300,239"
"07.11.2022";"299,548"
"04.11.2022";"298,384"
"03.11.2022";"297,552"
"02.11.2022";"299,009"
"01.11.2022";"299,159"
"31.10.2022";"298,202"
"28.10.2022";"296,823"
"27.10.2022";"296,369"
"26.10.2022";"294,753"
"25.10.2022";"293,545"
"24.10.2022";"292,306"
"21.10.2022";"291,422"
"20.10.2022";"292,29"
"19.10.2022";"293,169"
"18.10.2022";"293,541"
"17.10.2022";"292,461"
"14.10.2022";"291,946"
"13.10.2022";"291,25"
"12.10.2022";"291,737"
"11.10.2022";"292,482"
"10.10.2022";"293,852"
"07.10.2022";"295,214"
"06.10.2022";"296,29"
"05.10.2022";"296,724"
"04.10.2022";"296,84"
"03.10.2022";"293,523"
"30.09.2022";"293,296"
"29.09.2022";"293,059"
"28.09.2022";"294,357"
"27.09.2022";"296,82"
"26.09.2022";"297,211"
"23.09.2022";"299,526"
"22.09.2022";"300,878"
"21.09.2022";"301,67"
"20.09.2022";"302,547"
"19.09.2022";"303,26"
"16.09.2022";"303,436"
"15.09.2022";"304,946"
"14.09.2022";"305,066"
"13.09.2022";"306,185"
"12.09.2022";"306,881"
"09.09.2022";"305,538"
"08.09.2022";"304,607"
"07.09.2022";"303,747"
"06.09.2022";"303,329"
"05.09.2022";"302,716"
"02.09.2022";"304,051"
"01.09.2022";"303,393"
"31.08.2022";"305,476"
"30.08.2022";"307,13"
"29.08.2022";"308,317"
"26.08.2022";"309,008"
"25.08.2022";"309,129"
"24.08.2022";"308,327"
"23.08.2022";"308,249"
"22.08.2022";"309,218"
"19.08.2022";"311,445"
"18.08.2022";"312,538"
"17.08.2022";"313,473"
"16.08.2022";"314,903"
"15.08.2022";"315,036"
"12.08.2022";"314,421"
"11.08.2022";"313,877"
"10.08.2022";"312,887"
"09.08.2022";"312,844"
"08.08.2022";"312,7"
"05.08.2022";"312,136"
"04.08.2022";"311,925"
"03.08.2022";"310,733"
"02.08.2022";"310,275"
"01.08.2022";"310,266"
"29.07.2022";"309,281"
"28.07.2022";"308"
"27.07.2022";"307,014"
"26.07.2022";"307,097"
"25.07.2022";"307,237"
"22.07.2022";"305,562"
"21.07.2022";"303,893"
"20.07.2022";"303,511"
"19.07.2022";"300,309"
"18.07.2022";"299,312"
"15.07.2022";"298,626"
"14.07.2022";"298,47"
"13.07.2022";"299,189"
"12.07.2022";"299,19"
"11.07.2022";"298,788"
"08.07.2022";"297,471"
"07.07.2022";"295,832"
"06.07.2022";"294,972"
"05.07.2022";"295,075"
"04.07.2022";"294,831"
"01.07.2022";"294,791"
"30.06.2022";"294,402"
"29.06.2022";"297,06"
"28.06.2022";"299,075"
"27.06.2022";"300,301"
"24.06.2022";"300,641"
"23.06.2022";"301,149"
"22.06.2022";"301,775"
"21.06.2022";"302,194"
"20.06.2022";"301,856"
"17.06.2022";"302,12"
"16.06.2022";"302,589"
"15.06.2022";"304,837"
"14.06.2022";"304,608"
"13.06.2022";"306,873"
"10.06.2022";"311,706"
"09.06.2022";"314,257"
"08.06.2022";"315,885"
"07.06.2022";"316,196"
"06.06.2022";"316,455"
"03.06.2022";"316,357"
"02.06.2022";"316,303"
