sep=;
"Date";"Line(Q.MERG0BC)"
"27.02.2023";"302,699"
"24.02.2023";"302,522"
"23.02.2023";"303,915"
"22.02.2023";"303,138"
"21.02.2023";"302,717"
"20.02.2023";"305,058"
"17.02.2023";"304,959"
"16.02.2023";"304,722"
"15.02.2023";"305,694"
"14.02.2023";"306,301"
"13.02.2023";"307,13"
"10.02.2023";"306,857"
"09.02.2023";"308,449"
"08.02.2023";"309,157"
"07.02.2023";"308,965"
"06.02.2023";"309,63"
"03.02.2023";"311,233"
"02.02.2023";"313,215"
"01.02.2023";"311,262"
"31.01.2023";"309,944"
"30.01.2023";"309,049"
"27.01.2023";"309,7"
"26.01.2023";"309,969"
"25.01.2023";"310,274"
"24.01.2023";"309,957"
"23.01.2023";"308,774"
"20.01.2023";"309,066"
"19.01.2023";"310,581"
"18.01.2023";"311,368"
"17.01.2023";"308,843"
"16.01.2023";"308,556"
"13.01.2023";"308,463"
"12.01.2023";"308,873"
"11.01.2023";"306,775"
"10.01.2023";"304,807"
"09.01.2023";"305,779"
"06.01.2023";"304,812"
"05.01.2023";"302,377"
"04.01.2023";"302,606"
"03.01.2023";"301"
"31.12.2022";"300,086"
"30.12.2022";"300,073"
"29.12.2022";"300,369"
"28.12.2022";"299,568"
"27.12.2022";"300,102"
"23.12.2022";"301,586"
"22.12.2022";"302,575"
"21.12.2022";"302,723"
"20.12.2022";"302,399"
"19.12.2022";"304,284"
"16.12.2022";"305,722"
"15.12.2022";"306,805"
"14.12.2022";"307,268"
"13.12.2022";"306,868"
"12.12.2022";"305,318"
"09.12.2022";"305,346"
"08.12.2022";"307,039"
"07.12.2022";"307,448"
"06.12.2022";"305,842"
"05.12.2022";"304,589"
"02.12.2022";"305,645"
"01.12.2022";"304,979"
"30.11.2022";"301,839"
"29.11.2022";"300,87"
"28.11.2022";"301,509"
"25.11.2022";"301,391"
"24.11.2022";"301,575"
"23.11.2022";"301,207"
"22.11.2022";"299,715"
"21.11.2022";"298,529"
"18.11.2022";"298,03"
"17.11.2022";"298,083"
"16.11.2022";"299,111"
"15.11.2022";"297,305"
"14.11.2022";"295,386"
"11.11.2022";"294,847"
"10.11.2022";"295,02"
"09.11.2022";"290,293"
"08.11.2022";"289,693"
"07.11.2022";"288,5"
"04.11.2022";"288,859"
"03.11.2022";"289,079"
"02.11.2022";"290,549"
"01.11.2022";"290,6"
"31.10.2022";"289,813"
"28.10.2022";"290,438"
"27.10.2022";"291,148"
"26.10.2022";"289,566"
"25.10.2022";"288,337"
"24.10.2022";"285,925"
"21.10.2022";"285,268"
"20.10.2022";"285,854"
"19.10.2022";"287,16"
"18.10.2022";"289,047"
"17.10.2022";"288,262"
"14.10.2022";"287,717"
"13.10.2022";"288,447"
"12.10.2022";"289,381"
"11.10.2022";"289,64"
"10.10.2022";"291,146"
"07.10.2022";"291,637"
"06.10.2022";"293,08"
"05.10.2022";"293,798"
"04.10.2022";"295,58"
"03.10.2022";"294,388"
"30.09.2022";"291,638"
"29.09.2022";"291,559"
"28.09.2022";"293,149"
"27.09.2022";"290,829"
"26.09.2022";"293,396"
"23.09.2022";"296,424"
"22.09.2022";"297,313"
"21.09.2022";"300,176"
"20.09.2022";"299,361"
"19.09.2022";"300,7"
"16.09.2022";"300,919"
"15.09.2022";"301,642"
"14.09.2022";"302,29"
"13.09.2022";"302,084"
"12.09.2022";"303,411"
"09.09.2022";"303,305"
"08.09.2022";"303,059"
"07.09.2022";"303,633"
"06.09.2022";"302,361"
"05.09.2022";"304,671"
"02.09.2022";"304,863"
"01.09.2022";"303,535"
"31.08.2022";"306,013"
"30.08.2022";"307,025"
"29.08.2022";"307,293"
"26.08.2022";"308,904"
"25.08.2022";"309,162"
"24.08.2022";"307,597"
"23.08.2022";"308,389"
"22.08.2022";"308,739"
"19.08.2022";"310,171"
"18.08.2022";"312,41"
"17.08.2022";"312,375"
"16.08.2022";"314,183"
"15.08.2022";"314,891"
"12.08.2022";"313,64"
"11.08.2022";"313,014"
"10.08.2022";"314,129"
"09.08.2022";"313,438"
"08.08.2022";"314,187"
"05.08.2022";"312,872"
"04.08.2022";"315,574"
"03.08.2022";"314,475"
"02.08.2022";"314,796"
"01.08.2022";"316,491"
"29.07.2022";"315,552"
"28.07.2022";"314,415"
"27.07.2022";"313,08"
"26.07.2022";"312,401"
"25.07.2022";"311,996"
"22.07.2022";"312,572"
"21.07.2022";"309,962"
"20.07.2022";"307,858"
"19.07.2022";"307,329"
"18.07.2022";"308,158"
"15.07.2022";"308,455"
"14.07.2022";"307,569"
"13.07.2022";"308,46"
"12.07.2022";"308,314"
"11.07.2022";"307,514"
"08.07.2022";"305,731"
"07.07.2022";"306,421"
"06.07.2022";"307,128"
"05.07.2022";"308,034"
"04.07.2022";"306,496"
"01.07.2022";"306,9"
"30.06.2022";"305,751"
"29.06.2022";"304,446"
"28.06.2022";"303,022"
"27.06.2022";"303,926"
"24.06.2022";"304,942"
"23.06.2022";"305,503"
"22.06.2022";"303,863"
"21.06.2022";"301,91"
"20.06.2022";"302,821"
"17.06.2022";"303,019"
"16.06.2022";"302,147"
"15.06.2022";"302,209"
"14.06.2022";"300,659"
"13.06.2022";"302,591"
"10.06.2022";"307,396"
"09.06.2022";"310,045"
"08.06.2022";"310,918"
"07.06.2022";"311,844"
"06.06.2022";"310,918"
